============================================================
BYZANTINE AUTHORITATIVE MANIFEST
============================================================
CivTechTrees ID: BYZANTINES
DAT civilization: Byzantine
DAT tech_tree_id: 256
Buildings: 28
Units/tech nodes: 145

============================================================
BUILDINGS
============================================================
87 | Archery Range | TYPE=BuildingTech | USE=Building | STATUS=ResearchRequired | AGE=2 | BUILDING=87 | LINK=12 | TRIGGER=<MISSING>
12 | Barracks | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=12 | LINK=<MISSING> | TRIGGER=<MISSING>
101 | Stable | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=2 | BUILDING=101 | LINK=12 | TRIGGER=<MISSING>
49 | Siege Workshop | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=3 | BUILDING=49 | LINK=103 | TRIGGER=<MISSING>
103 | Blacksmith | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=2 | BUILDING=103 | LINK=<MISSING> | TRIGGER=<MISSING>
45 | Dock | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=45 | LINK=<MISSING> | TRIGGER=<MISSING>
209 | University | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=3 | BUILDING=209 | LINK=<MISSING> | TRIGGER=<MISSING>
598 | Outpost | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=598 | LINK=<MISSING> | TRIGGER=<MISSING>
79 | Watch Tower | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=2 | BUILDING=79 | LINK=598 | TRIGGER=<MISSING>
234 | Guard Tower | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchRequired | AGE=3 | BUILDING=234 | LINK=79 | TRIGGER=<MISSING>
235 | Keep | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchRequired | AGE=4 | BUILDING=235 | LINK=234 | TRIGGER=<MISSING>
236 | Bombard Tower | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchRequired | AGE=4 | BUILDING=236 | LINK=235 | TRIGGER=<MISSING>
72 | Palisade Wall | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=72 | LINK=<MISSING> | TRIGGER=<MISSING>
792 | Palisade Gate | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=792 | LINK=<MISSING> | TRIGGER=<MISSING>
487 | Gate | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=2 | BUILDING=487 | LINK=<MISSING> | TRIGGER=<MISSING>
117 | Stone Wall | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=2 | BUILDING=117 | LINK=487 | TRIGGER=<MISSING>
155 | Fortified Wall | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchRequired | AGE=3 | BUILDING=155 | LINK=117 | TRIGGER=<MISSING>
82 | Castle | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=3 | BUILDING=82 | LINK=<MISSING> | TRIGGER=<MISSING>
104 | Monastery | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=3 | BUILDING=104 | LINK=<MISSING> | TRIGGER=<MISSING>
109 | Town Center | TYPE=BuildingTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=109 | LINK=<MISSING> | TRIGGER=<MISSING>
70 | House | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=1 | BUILDING=70 | LINK=<MISSING> | TRIGGER=<MISSING>
621 | Town Center | TYPE=BuildingNonTech | USE=Building | STATUS=ResearchedCompleted | AGE=3 | BUILDING=621 | LINK=<MISSING> | TRIGGER=<MISSING>
